level_0,patient1,patient2,patient3,patient4
ARHGEF19,71,103,52,107
SZRD1,8329,8519,9124,11778
SPATA21,1,0,0,0
CROCCP3,170,161,164,142
MIR3675,0,0,0,0
MST1P2,90,363,204,416
CROCCP2,380,698,416,609
FAM231A,0,0,0,0
MST1L,256,818,183,805
CROCC,829,921,722,1138
ATP13A2,3437,3054,3186,4779
SDHB,2733,4297,3569,4977
PADI4,0,0,0,0
PADI3,32,33,12,53
RCC2,2017,2345,2308,3407
PADI6,0,0,0,0
KLHDC7A,270,525,112,301
TAS1R2,0,0,0,0
ALDH4A1,288,511,454,687
MIR4695,0,0,0,0
AKR7A2,2528,2489,3282,3564
PQLC2,1031,925,1185,1292
AKR7A3,83,967,182,160
AKR7L,43,53,47,39
LOC100506730,336,255,567,352
EMC1,3468,4521,4439,5518
MRTO4,933,1426,1426,1915
MINOS1,1694,2405,2415,2978
NBL1,0,0,0,0
MINOS1-NBL1,0,0,0,0
HTR6,7,0,2,4
RPS14P3,260,442,469,696
RNF186,55,237,99,111
PLA2G2A,19,26,0,20
PLA2G2E,0,0,0,0
OTUD3,1474,1269,2302,1115
PLA2G2D,0,0,0,0
PLA2G5,0,0,2,1
PLA2G2F,0,0,0,8
UBXN10,421,539,537,524
PLA2G2C,0,0,0,0
UBXN10-AS1,10,2,5,8
VWA5B1,32,57,18,70
CAMK2N1,7523,5324,13223,7416
MUL1,2186,2527,2248,2811
CDA,5,0,0,20
FAM43B,4,8,8,7
MIR6084,0,0,0,0
DDOST,9183,12573,10122,16826
KIF17,4,2,30,18
SH2D5,9,38,37,95
LOC100506801,0,2,1,8
NBPF3,558,480,677,421
RAP1GAP,11074,10767,13159,13268
LINC00339,469,757,704,653
CELA3B,1731,8724,1070,836
CELA3A,2749,25093,5595,4200
LOC101928043,8,10,7,11
WNT4,6152,6696,7995,15587
EPHA8,79,114,66,187
C1QC,261,80,503,194
C1QB,394,89,454,181
MIR4684,0,0,0,0
C1QA,298,37,361,125
MIR6127,0,0,0,0
MIR4253,0,0,0,0
LACTBL1,0,0,0,0
C1orf234,0,0,0,7
KDM1A,4157,4541,4647,5685
MIR3115,0,0,0,0
HTR1D,7,0,4,6
HNRNPR,7701,9462,9099,10342
ZNF436,1114,1034,1169,1409
LINC01355,71,70,64,103
C1orf213,59,32,70,53
ASAP3,318,898,295,959
LOC101928163,0,0,0,0
MDS2,0,1,2,1
ID3,3585,1614,2370,2138
RPL11,20754,27892,32406,41788
TCEB3,2845,3009,3509,3625
TCEB3-AS1,30,64,49,41
PITHD1,3680,2921,4278,3592
HMGCL,2292,3010,2222,4376
FUCA1,6158,7241,6553,12921
GALE,592,1029,583,1749
LYPLA2,1468,1440,1393,2335
CNR2,0,0,0,0
SRSF10,3864,4409,3776,4911
MIR378F,0,0,0,0
PNRC2,3645,3283,4574,5919
MYOM3,1,0,6,10
IL22RA1,39,208,32,90
LOC284632,0,0,0,0
STPG1,774,863,769,1013
GRHL3,42,66,99,100
RCAN3AS,46,66,67,83
RCAN3,3967,3216,4182,3673
LOC100506985,1406,1230,1612,1327
SRRM1,2290,2351,3142,3145
RUNX3,114,14,97,91
MIR6731,0,0,0,0
SYF2,2064,2521,3244,3377
RHD,8,1,9,11
RSRP1,1015,793,881,1435
TMEM50A,3700,4459,4442,6248
LDLRAP1,6032,7318,8547,7884
LOC646471,342,246,267,286
PAQR7,815,1135,727,1478
SEPN1,3942,3963,4039,7097
AUNIP,21,41,22,38
MTFR1L,2107,2114,2400,2512
PAFAH2,1450,1853,1502,2427
MIR3917,0,0,0,0
SLC30A2,417,1618,420,624
TRIM63,22,42,16,23
EXTL1,45,26,18,16
PDIK1L,1208,1313,1655,1359
CNKSR1,693,577,573,740
ZNF593,459,468,321,868
CEP85,1662,1061,1126,1572
CATSPER4,0,0,0,1
FAM110D,3,0,26,4
LOC101928303,279,289,151,273
ZNF683,0,0,2,2
CD52,6,40,44,16
UBXN11,249,230,372,625
AIM1L,20,22,37,118
DHDDS,1783,2186,2083,2623
HMGN2,2230,1496,2949,2839
MIR1976,0,0,0,1
PIGV,870,1514,836,1369
ARID1A,5485,4531,6214,6734
GPN2,692,641,727,1005
ZDHHC18,922,966,861,1518
SFN,10,124,50,413
GPATCH3,752,651,898,1031
NR0B2,382,817,776,1110
KDF1,1252,1208,1290,1630
FAM46B,273,489,390,321
TRNP1,2084,2072,3237,4357
SLC9A1,1029,1150,1205,1762
WDTC1,3145,3019,3155,4672
LOC644961,64,68,65,132
SYTL1,1158,1315,1400,1928
FCN3,9,0,17,13
MAP3K6,438,416,396,601
GPR3,40,28,46,109
CD164L2,3,5,14,5
FGR,2,22,0,3
IFI6,5334,4286,3913,7583
SCARNA1,0,0,0,1
FAM76A,975,1055,1500,1220
STX12,3874,4773,4613,5295
PPP1R8,2550,2976,3122,3485
THEMIS2,420,626,349,868
XKR8,531,562,613,748
SMPDL3B,529,967,214,1908
RPA2,2161,2517,2222,3283
ATPIF1,4027,4861,5341,6174
PTAFR,144,71,93,670
DNAJC8,3792,4532,4915,6015
SESN2,3210,1581,3866,3094
MED18,752,816,767,1309
TRNAU1AP,386,378,486,844
SNORA61,21,15,20,54
SNORA44,5,10,4,12
SNORA16A,2,2,4,10
RAB42,15,18,37,38
SNORD99,4,3,7,7
SNHG12,247,235,353,400
YTHDF2,3101,3489,3645,4157
GMEB1,345,469,531,587
RNU11,0,2,0,3
OPRD1,68,87,181,41
TMEM200B,8,4,22,9
MECR,411,615,546,808
LOC101928460,0,0,0,0
LOC101929406,0,0,0,0
LAPTM5,519,307,936,511
MIR4420,0,0,0,0
SNORD103A+SNORD103B,0,0,0,0
SDC3,524,531,386,1166
SNORD85,0,0,0,0
NKAIN1,209,223,150,221
ZCCHC17,1428,1593,1774,2654
FABP3,55,67,62,96
SNRNP40,1247,1361,1621,2076
SERINC2,1815,5136,2439,17698
LINC01225,0,1,1,0
TINAGL1,1745,3268,1138,10581
PEF1,2467,2989,1786,4107
HCRTR1,1,0,2,4
LINC01226,0,5,0,0
BAI2,155,35,70,58
MIR4254,0,0,0,0
COL16A1,537,289,330,786
SPOCD1,13,6,3,93
TMEM39B,423,525,698,883
LCK,9,6,8,13
IQCC,200,293,288,362
DCDC2B,36,39,51,45
EIF3I,5221,5212,4568,8250
TXLNA,5999,6918,7367,8682
CCDC28B,492,563,816,885
FAM167B,46,43,88,104
MTMR9LP,398,285,217,484
TMEM234,158,243,275,404
BSDC1,3980,4086,4283,4762
MARCKSL1,1906,2615,1617,4185
FAM229A,24,34,21,28
TSSK3,19,47,36,64
ZBTB8B,48,30,33,38
RBBP4,5475,5852,6526,6298
ZBTB8OS,741,933,985,1059
KIAA1522,2866,5792,2544,7701
YARS,5523,2407,6593,6003
HPCA,454,659,1473,352
FNDC5,158,251,426,107
TMEM54,1546,2131,1667,3329
AK2,5489,6674,7171,7943
TRIM62,362,303,419,564
ZNF362,661,771,1144,878
MIR3605,4,2,1,4
A3GALT2,1,0,1,0
HMGB4,0,0,0,0
C1orf94,0,0,0,0
GJB5,5,6,10,6
GJB4,4,2,2,8
GJB3,12,8,34,49
GJA4,34,24,37,9
DLGAP3,512,292,504,425
SMIM12,1526,2096,1774,2313
ZMYM6,1108,1228,1428,1362
ZMYM6NB,611,918,654,1467
LOC653160,57,61,119,75
ZMYM1,592,618,691,636
NCDN,1761,2300,1784,2105
PSMB2,4158,4839,5458,6992
CLSPN,24,76,32,68
C1orf216,1046,889,805,1057
AGO1,2264,2350,3120,3084
TEKT2,71,73,180,166
ADPRHL2,1053,1249,1313,1853
COL8A2,17,14,16,72
TRAPPC3,2626,3289,3348,4157
MAP7D1,4321,4062,5318,6764
SH3D21,35,59,85,91
EVA1B,164,139,196,403
OSCP1,402,412,561,624
LSM10,1283,1138,1158,1405
CSF3R,8,7,21,7
MRPS15,1449,1995,1922,2807
MIR4255,0,0,0,0
MEAF6,5364,4980,8634,6030
LINC01137,193,315,206,520
ZC3H12A,341,562,188,1202
MIR5581,2,2,1,0
MIR6732,1,2,1,9
RSPO1,0,1,0,1
GNL2,2345,3572,3299,3759
DNALI1,1084,1486,1696,1988
EPHA10,411,398,565,574
MANEAL,3464,3316,3599,4570
C1orf109,833,737,1122,918
CDCA8,90,93,78,130
MTF1,1546,1129,1644,1756
C1orf122,1697,2280,1801,2122
FHL3,112,97,127,221
SF3A3,2774,3424,3548,4503
UTP11L,1024,1308,1493,1564
POU3F1,49,104,180,120
MIR3659,0,0,0,0
LINC01343,0,0,0,0
RHBDL2,40,53,34,114
MYCBP,1,1,1,4
GJA9-MYCBP,2,2,1,2
GJA9,0,0,0,0
NDUFS5,3677,4181,5109,7877
AKIRIN1,4031,4576,5818,5043
KIAA0754,287,728,336,1009
HEYL,773,655,1036,1266
PABPC4,2968,4203,4182,5210
PPIEL,134,127,198,189
SNORA55,0,2,0,1
PPIE,2420,2359,2109,3121
NT5C1A,0,4,2,0
HPCAL4,116,44,114,54
OXCT2,73,66,25,63
TRIT1,800,889,1132,1217
MYCL,63,110,72,129
MFSD2A,82,44,41,142
CAP1,9982,10760,11315,18772
PPT1,12855,16948,16891,20528
ZMPSTE24,4419,6306,4964,6138
TMCO2,0,2,0,2
SMAP2,3405,2781,3512,4243
COL9A2,768,285,804,1100
EXO5,376,437,317,390
ZFP69,57,134,63,170
ZNF684,202,273,220,302
ZFP69B,165,113,140,141
RIMS3,144,198,57,275
NFYC,1286,1377,1442,1680
MIR30C1,0,0,0,0
MIR30E,0,0,0,0
CITED4,180,493,170,492
CTPS1,831,1026,1061,1443
SLFNL1,2,4,1,0
SLFNL1-AS1,29,27,37,45
FOXO6,362,286,999,416
EDN2,19,64,18,52
GUCA2B,23,133,36,33
GUCA2A,19,24,16,8
ZMYND12,175,319,191,212
PPCS,1816,2648,2644,2968
CCDC30,116,168,148,121
LEPRE1,1847,1804,1712,2948
CLDN19,0,0,0,0
YBX1,7027,9397,9388,12844
PPIH,288,427,344,572
C1orf50,421,421,532,605
ZNF691,399,388,433,541
CCDC23,538,796,841,526
ERMAP,1470,1137,2297,1584
LOC339539,0,0,0,0
SLC2A1,1073,1557,2158,2673
SLC2A1-AS1,25,117,42,38
EBNA1BP2,1877,2468,2733,3351
FAM183A,2,5,5,17
MIR6733,0,0,0,0
C1orf210,1172,1117,1258,1575
TMEM125,1187,1300,834,1869
ELOVL1,2562,2741,2220,5102
MED8,1166,1546,1470,2156
MPL,45,56,152,98
CDC20,18,103,53,78
MIR6734,1,0,1,2
HYI,0,0,0,0
MIR6735,3,2,0,4
KDM4A,2869,2792,3409,3292
ARTN,24,40,32,38
MIR6079,0,0,0,0
ATP6V0B,11049,10886,10474,12402
SLC6A9,1305,866,1638,780
B4GALT2,1975,2043,1666,2536
DPH2,705,1003,871,1335
CCDC24,386,492,564,804
KLF17,2,0,0,0
DMAP1,1286,1314,1957,1859
MIR5584,0,0,0,0
C1orf228,92,57,102,131
TMEM53,407,519,656,585
PTCH2,69,45,105,92
RPS8,20811,25980,30510,42569
SNORD38B,9,10,5,19
SNORD38A,1,4,1,7
SNORD46,1,0,0,5
BEST4,38,35,17,28
BTBD19,35,14,62,54
SNORD55,2,7,8,6
PLK3,293,208,189,546
TCTEX1D4,8,12,2,14
UROD,2381,2646,2511,4211
HECTD3,2070,1879,1636,3300
MUTYH,375,380,476,544
HPDL,21,21,4,4
LINC01144,63,115,87,114
TOE1,310,453,598,596
PRDX1,10034,9720,7982,16717
MMACHC,163,360,215,257
CCDC163P,60,68,58,69
AKR1A1,3847,6230,3296,7370
RPS15AP10,2,2,6,3
CCDC17,7,5,11,12
NASP,1613,1989,1906,3196
IPP,690,888,873,981
TMEM69,887,1322,1115,1069
TSPAN1,3206,5175,4643,6052
UQCRH,2555,3477,2936,3854
RAD54L,39,41,31,34
LRRC41,4859,4216,4964,5179
LURAP1,17,14,23,23
NSUN4,1663,1954,1591,2100
LINC01398,0,0,0,0
FAAH,961,1131,979,1462
FAAHP1,1,0,1,17
KNCN,0,0,0,0
DMBX1,0,0,0,2
MKNK1-AS1,3,1,17,9
MOB3C,1002,726,1046,1348
ATPAF1,2737,3343,2509,3757
EFCAB14,8914,11011,11014,10680
TEX38,7,6,0,1
EFCAB14-AS1,0,10,6,3
CYP4B1,1,4,23,2
CYP4A11,0,8,0,0
CYP4X1,29,191,148,26
TAL1,4,0,21,17
PDZK1IP1,412,1226,397,3460
LINC00853,1,10,0,0
CYP4A22,0,0,2,0
STIL,97,254,162,182
FOXE3,0,0,0,0
FOXD2,6,12,5,40
FOXD2-AS1,17,15,6,44
SLC5A9,23,63,12,36
BEND5,221,266,431,324
AGBL4-IT1,5,1,1,2
DMRTA2,2,0,0,0
CDKN2C,937,1051,559,1219
C1orf185,0,0,0,0
RNF11,10394,10488,12632,10916
MIR761,0,0,0,0
TXNDC12,2930,3046,3485,5671
BTF3L4,2513,2452,3355,2796
KTI12,0,0,0,0
ORC1,52,72,48,56
PRPF38A,1643,1194,1822,1868
GPX7,473,457,702,686
COA7,711,782,1128,1088
FAM159A,22,2,15,4
ECHDC2,874,1058,1413,1871
PODN,443,162,417,445
SLC1A7,18,4,2,1
LOC100507564,43,115,75,88
C1orf123,861,821,1110,1486
MAGOH,968,1266,1527,1742
CPT2,1577,2304,1791,2540
DMRTB1,0,0,0,0
SLC25A3P1,0,0,0,0
DIO1,14,14,21,47
YIPF1,1524,1627,1776,2386
LRRC42,2943,3538,4318,4388
TMEM59,30598,34426,32514,40896
LDLRAD1,67,81,112,189
MIR4781,0,0,0,0
CDCP2,2,0,2,4
MRPL37,1246,2153,1779,2840
SSBP3-AS1,51,10,46,28
FAM151A,14,8,6,17
MROH7,8,3,6,3
C1orf177,9,2,12,8
TTC4,98,77,80,110
TTC22,606,664,1004,944
PARS2,455,416,529,576
DHCR24,6144,7983,4996,14487
PCSK9,116,544,369,297
BSND,0,4,2,0
TMEM61,914,790,837,1186
LOC100507634,16,25,19,25
MIR4422,0,0,0,0
C8A,1,1,2,31
TACSTD2,4931,16561,5286,18446
MYSM1,1547,1564,2134,1765
JUN,4126,4762,6929,6686
LINC01135,49,53,59,95
HSD52,24,52,30,4
MIR4711,0,0,0,0
LOC101926944,3,10,19,7
CYP2J2,130,333,110,331
C1orf87,6,7,0,3
NFIA-AS2,0,0,2,2
NFIA-AS1,0,0,0,0
MGC34796,0,0,0,0
TM2D1,1682,2237,2284,2375
L1TD1,4,2,0,4
ANGPTL3,52,113,101,95
FOXD3,3,7,6,7
MIR6068,0,0,0,0
FOXD3-AS1,0,0,0,0
ALG6,436,567,580,795
EFCAB7,495,385,595,607
DLEU2L,10,10,6,17
ROR1-AS1,44,148,37,185
UBE2U,5,30,8,0
MIR4794,0,0,0,0
MIR3671,3,2,0,3
MIR101-1,0,0,0,0
LINC01359,2,0,3,1
LEPROT,4546,5988,5100,6316
MIR3117,0,0,1,0
INSL5,0,0,0,0
MIER1,2101,2208,2742,2804
C1orf141,18,7,12,18
IL12RB2,2,17,8,7
GADD45A,1489,2411,1341,2690
DIRAS3,830,900,864,1894
MIR1262,0,0,0,0
RPE65,4,2,0,0
DEPDC1-AS1,2,0,0,0
SRSF11,5724,6354,6186,7531
CTH,98,248,139,367
HHLA3,318,454,333,612
ZRANB2,3339,3410,4128,3815
MIR186,3,3,1,3
ZRANB2-AS1,20,18,29,20
NEGR1-IT1,0,0,0,0
FPGT,1069,943,866,1166
ERICH3-AS1,0,0,0,0
TYW3,2401,2706,2957,2433
CRYZ,4259,4381,4519,7830
LHX8,0,0,0,0
SNORD45A,1,8,1,2
ACADM,2522,4942,4065,3130
RABGGTB,3656,3751,6075,3407
SNORD45B,3,2,1,2
SNORD45C,0,2,0,1
ASB17,0,0,0,0
MIR7156,0,1,0,0
USP33,5445,4700,6070,5671
NEXN-AS1,0,8,2,0
DNAJB4,893,1396,1003,1076
FUBP1,5089,6501,6510,6550
PTGFR,1006,146,820,211
IFI44,161,203,151,225
IFI44L,13,22,21,38
LINC01361,7,8,8,12
DNASE2B,8,16,2,0
UOX,73,100,59,46
GNG5,1574,1515,1310,3292
CTBS,3132,4186,3026,4720
RPF1,2039,2189,2410,2796
SSX2IP,7149,3603,9059,7614
C1orf180,2,0,0,2
MCOLN3,924,1430,1723,1781
SYDE2,207,188,398,380
MIR4423,0,0,0,0
BCL10,618,928,783,1321
LOC646626,2,3,0,6
CYR61,321,884,276,1818
ZNHIT6,1433,1486,1640,1807
ODF2L,911,890,1291,1258
MIR7856,0,0,0,0
CLCA1,13,4,9,2
CLCA3P,0,2,0,4
SH3GLB1,5504,5659,7004,7531
SEP15,8646,11158,10422,12167
LINC01140,18,6,14,46
LMO4,811,978,983,1523
LINC01364,0,0,0,0
GTF2B,1510,1776,1730,2392
CCBL2,1654,2524,2353,2500
GBP3,810,1603,45,2503
RBMXL1,1011,1104,1343,1707
GBP7,0,0,1,2
GBP2,650,906,327,1749
GBP5,13,0,14,6
LOC729930,8,10,7,17
GBP1P1,0,0,0,1
GBP6,2,16,3,3
FLJ27354,1,9,4,13
GEMIN8P4,117,192,163,217
ZNF326,1348,1920,1577,1462
BARHL2,0,0,0,0
ZNF644,2620,2806,3624,3131
CDC7,505,857,512,504
BRDT,0,0,0,0
EPHX4,18,2,38,2
BTBD8,41,54,63,78
KIAA1107,977,802,809,829
SETSIP,69,88,87,125
GLMN,262,347,422,450
C1orf146,1,1,0,1
GFI1,8,84,20,51
SNORD21,2,2,4,0
RPL5,30490,33984,45923,46550
SNORA66,2,10,2,6
TMED5,5281,4657,5553,7468
DR1,3103,2486,3409,3175
LOC100131564,214,350,520,705
LOC100129046,136,290,314,306
DNTTIP2,3077,3428,4113,5031
MIR760,0,0,0,0
ARHGAP29,1486,1201,1293,1638
F3,855,1873,1494,2555
CNN3,2527,4393,2397,7168
ALG14,320,396,418,628
TMEM56,1719,1422,1696,2024
RWDD3,321,248,263,381
LOC100996635,0,0,0,0
DPYD-AS2,0,0,0,0
MIR137,0,0,0,0
MIR137HG,2,10,4,3
MIR2682,0,1,0,0
LPPR5,621,169,291,162
MIR548D1,0,0,0,0
FRRS1,65,93,27,130
MIR548AA1,0,0,0,0
AGL,1974,2466,2273,2664
SLC35A3,1071,1656,1572,1881
SASS6,208,397,347,319
LRRC39,233,118,459,85
TRMT13,338,337,471,556
RTCA,2066,1873,2580,2546
MIR553,0,1,1,0
RTCA-AS1,45,70,56,76
GPR88,0,0,2,0
LINC01349,0,0,0,0
SLC30A7,1635,1963,2158,2483
EXTL2,954,1136,970,800
DPH5,1009,1441,1199,1485
LOC102606465,174,265,204,211
S1PR1,63,12,462,73
LOC101928370,4,4,6,2
RNU6-31P,0,0,0,0
DNAJA1P5,0,2,1,0
LOC101928436,0,0,1,0
AMY2B,173,6818,238,298
AMY2A,84,8187,200,47
ACTG1P4,9,25,21,18
LOC100129138,28,19,12,11
PRMT6,1925,2094,3107,2698
MIR7852,0,0,0,0
NBPF4,0,1,0,1
SLC25A24,2318,3654,3286,4275
NBPF6,0,0,0,0
FAM102B,511,495,546,1420
FNDC7,0,2,0,4
HENMT1,194,236,216,254
PRPF38B,2314,1952,2662,2960
SPATA42,3,0,1,0
AKNAD1,1,10,0,10
CLCC1,2824,2868,2854,3043
TMEM167B,4973,5172,6081,5397
TAF13,624,894,772,924
SCARNA2,2,0,10,14
C1orf194,10,27,22,27
SARS,17529,10536,22809,16302
CELSR2,2245,1825,2627,2703
PSRC1,206,65,130,227
PSMA5,3228,3911,3469,5312
SORT1,12047,12345,11347,16530
AMIGO1,1347,1171,1400,1305
CYB561D1,2341,2202,2228,3098
GPR61,54,35,34,22
ATXN7L2,232,235,337,303
SYPL2,63,76,148,188
AMPD2,7217,7646,11222,6782
GSTM2,371,406,758,554
GSTM4,786,941,725,1023
GNAT2,4,23,19,6
MIR197,0,0,2,1
GSTM3,3094,3817,2798,3920
EPS8L3,32,67,20,128
GSTM5,8,0,21,20
CSF1,496,720,352,2046
AHCYL1,16412,21705,16780,21088
ALX3,124,81,112,75
STRIP1,2155,1692,2174,2303
UBL4B,0,0,2,0
KCNC4-AS1,32,48,44,51
SLC6A17,6212,5636,6507,7469
LOC440600,10,6,32,24
SLC16A4,71,39,112,82
LAMTOR5,3921,4104,4515,6232
PROK1,6,0,4,2
LAMTOR5-AS1,12,26,23,22
CYMP,0,4,4,0
KCNA10,0,0,4,0
LOC440602,0,3,2,0
KCNA3,1102,978,703,719
LRIF1,1075,1322,1024,1234
CD53,76,55,143,127
DENND2D,1631,1450,1174,2038
CEPT1,2115,2556,2145,2558
CHI3L2,26,12,2,41
CHIA,0,0,0,0
PIFO,326,410,620,599
CHIAP2,0,0,0,0
PGCP1,0,0,0,0
OVGP1,126,64,127,79
WDR77,1258,1473,1296,1870
C1orf162,16,23,58,40
ATP5F1,5449,6943,6384,8668
LINC01160,0,0,2,0
FAM212B-AS1,123,86,122,102
FAM212B,754,487,907,933
DDX20,971,1096,1179,1192
KCND3-IT1,0,6,4,4
LOC643355,60,51,57,89
MIR4256,0,0,0,0
WNT2B,128,107,139,157
MOV10,940,1148,884,2528
CAPZA1,4114,4391,4481,6998
FAM19A3,0,0,10,0
PPM1J,46,71,26,98
SLC16A1,188,297,180,349
AKR7A2P1,9,26,26,32
SLC16A1-AS1,2,2,4,2
LOC100996251,29,25,71,47
LOC643441,0,0,0,2
PTPN22,10,10,14,19
RSBN1,2460,2174,3068,2349
HIPK1,7120,6883,8836,6522
DCLRE1B,266,277,222,327
AP4B1,513,475,486,875
OLFML3,62,96,79,105
HIPK1-AS1,15,41,23,34
BCAS2,1816,2137,2404,2507
CSDE1,33534,38970,58360,49302
NRAS,2204,2957,3379,4882
SIKE1,2071,2152,2728,2813
AMPD1,0,1,0,0
TSHB,20,8,19,7
VANGL1,367,602,358,933
NHLH2,173,13,11,200
MAB21L3,2,0,0,0
ATP1A1-AS1,598,631,326,678
CD58,200,308,136,443
MIR320B1,0,0,0,0
C1orf137,0,0,0,0
PTGFRN,2691,2273,2420,5164
TRIM45,105,368,119,184
TTF2,583,695,912,1004
MIR942,0,0,0,0
LOC100996263,0,0,0,0
FAM46C,10172,12884,12823,11530
GDAP2,1046,1140,1164,1406
TBX15,3,4,15,1
HAO2-IT1,0,0,0,0
HSD3B2,0,6,12,22
HSD3B1,0,0,0,2
ZNF697,1837,1583,4075,1622
HSD3BP4,40,53,132,21
LINC00622,98,122,181,136
HMGCS2,894,2470,1047,437
PHGDH,3262,1871,2076,3208
ADAM30,0,0,0,0
NBPF7,1,0,0,0
REG4,245,252,226,239
FCGR1B,2,0,0,1
HIST2H2BA,13,8,9,17
EMBP1,73,50,90,113
ANKRD20A12P,3,4,3,6
LOC102723769,4,2,2,8
LINC01138,26,13,8,18
PPIAL4G,0,0,0,0
LOC100132057,0,0,0,0
MIR6077,0,0,0,0
RNU1-13P,0,0,0,0
FAM72C,0,0,0,0
FAM72D,0,0,0,0
LOC653513,200,281,273,362
PFN1P2,21,15,10,32
TXNIP,5830,7289,4743,6537
HFE2,0,0,0,0
POLR3GL,1242,1465,1580,1894
ANKRD34A,133,89,79,95
ANKRD35,7,26,16,15
PEX11B,1740,1891,1819,2066
RBM8A,2764,2599,3853,3753
NUDT17,58,56,69,93
POLR3C,833,1025,1059,1284
PIAS3,1733,1777,1954,1941
ITGA10,62,204,53,307
GNRHR2,116,159,158,147
MIR6736,2,5,8,2
CD160,11,14,11,11
GPR89A,111,172,142,195
PDZK1P2,0,0,0,0
LOC728989,58,36,37,59
NBPF13P,0,0,0,0
PDIA3P1,6752,8283,7725,11628
PRKAB2,1969,1533,2048,2135
RNVU1-8,0,0,0,1
CHD1L,1567,2083,2074,2064
ACP6,797,1259,1079,1132
GJA5,8,0,2,4
GJA8,0,0,0,0
MIR5087,0,0,0,0
RNVU1-19,1,0,0,0
PPIAL4D+PPIAL4E+PPIAL4F,0,0,0,0
NBPF14,0,0,0,0
NBPF15,158,198,246,355
DRD5P2+LOC101060524,0,0,0,0
LOC645166,34,31,31,34
FCGR1C,0,0,0,0
LOC103091866,11,12,11,10
HIST2H4A+HIST2H4B,0,0,0,0
HIST2H3D,0,0,1,0
HIST2H2BF,7,6,4,6
HIST2H2AA3+HIST2H2AA4,0,0,0,0
FCGR1A,0,0,2,2
HIST2H3A+HIST2H3C,0,0,0,0
MTMR11,412,730,477,1418
SF3B4,1624,1955,2208,2814
BOLA1,482,562,507,739
HIST2H2AC,7,6,5,20
HIST2H2BE,1337,1026,1104,1268
SV2A,5751,4676,5258,5604
HIST2H2BC,3,0,4,2
HIST2H2AB,0,0,1,0
ANP32E,3140,3774,4779,5106
PLEKHO1,280,234,407,619
C1orf54,31,29,72,94
APH1A,5376,6690,7526,9359
CIART,328,505,1021,524
MRPS21,3128,3713,3405,5050
CA14,19,25,26,13
PRPF3,1267,1367,1332,1844
MIR6878,5,8,3,7
LINC00568,6,7,23,9
MCL1,9505,10109,9601,16702
ADAMTSL4,33,37,35,71
MIR4257,0,0,0,0
ECM1,141,105,165,433
ADAMTSL4-AS1,0,0,0,0
HORMAD1,0,0,0,4
GOLPH3L,2468,3427,3248,3609
ARNT,2583,2519,3200,3551
CTSK,268,356,254,628
FAM63A,3357,2854,3021,3614
CERS2,11327,13896,11859,15405
ANXA9,711,1139,742,1169
SETDB1,1252,1386,1725,1890
C1orf56,447,618,477,890
BNIPL,61,27,75,47
MLLT11,3818,2894,1753,2200
SEMA6C,188,161,127,143
GABPB2,188,348,309,289
CDC42SE1,2942,3329,3508,5112
VPS72,2203,2247,2583,2770
SCNM1,74,86,104,137
PIP5K1A,3175,3141,4096,3808
LYSMD1,749,663,879,827
TNFAIP8L2-SCNM1,0,0,0,0
TMOD4,20,13,13,15
TNFAIP8L2,24,4,17,13
PSMD4,2996,3773,3556,5229
RFX5,1744,1966,1619,2174
PSMB4,5469,6308,7113,9551
PI4KB,5236,4938,5963,6593
SELENBP1,747,935,674,1480
CGN,1949,2069,1325,4139
MIR554,0,0,0,0
CELF3,7241,4736,8887,6478
OAZ3,89,80,86,112
TDRKH,879,672,568,1166
RIIAD1,77,73,180,161
MRPL9,1298,1440,1567,1853
LINGO4,90,172,143,115
THEM5,24,33,28,22
THEM4,481,812,697,810
C2CD4D,17,22,33,43
LOC100132111,20,32,34,21
S100A10,2311,2624,1954,7435
S100A11,4683,6532,4366,21047
NBPF18P,0,0,0,0
TCHH,72,120,61,103
RPTN,0,0,0,0
TCHHL1,0,0,0,0
FLG,512,539,374,153
HRNR,30,62,88,50
CRNN,0,0,0,0
FLG2,3,3,4,2
LCE5A,0,2,0,2
CRCT1,0,2,0,4
LCE3D,0,0,0,0
LCE3E,0,0,0,0
LCE2B,0,0,0,0
LCE3C,0,0,0,0
LCE3B,0,0,0,0
LCE4A,0,0,0,0
LCE3A,0,0,0,0
LCE2D,0,0,0,0
LCE2A,0,0,0,0
LCE2C,0,0,0,0
C1orf68,0,0,0,0
LCE1E,0,0,4,0
LCE1D,0,0,0,0
LCE1B,0,0,0,0
LCE1A,0,0,0,0
LCE1C,0,0,0,0
KPRP,0,0,0,0
LCE1F,0,0,0,0
LCE6A,0,0,0,0
SMCP,0,0,0,0
SPRR1A,7,0,2,109
IVL,0,0,2,7
SPRR4,0,0,0,0
SPRR2D,0,0,0,4
SPRR3,0,4,0,6
SPRR2A,15,2,0,47
SPRR1B,2,0,0,35
SPRR2F,0,0,0,0
SPRR2E,0,0,0,0
SPRR2B,0,0,0,0
SPRR2C,0,0,0,0
PRR9,0,0,0,0
LELP1,0,0,0,0
LOC101928009,0,0,0,0
SPRR2G,0,0,0,0
LOR,0,2,1,6
S100A9,17,21,54,254
S100A12,0,0,0,0
PGLYRP4,0,0,0,7
PGLYRP3,0,2,0,0
S100A8,0,0,0,8
S100A7A,0,0,0,0
S100A7,0,0,0,4
